weight,word,category,certainty,notes
11,78 kDa glucose-regulated protein,,,Endoplasmic reticulum-resident chaperone and a critical unfolded protein response regulator
11,Calcyphosin,muscle,0,Calcium binding protein
11,Coiled-coil domain containing 150,,,Unclear function
11,Fibrillar collagen NC1 domain-containing protein,tissue,0,Extracellular matrix collagen
11,helicase-like transcription factor,,,
11,NDC1 transmembrane nucleoporin,,,
11,OCIA domain-containing protein 1,,,Mixed functions: involved in integrin-mediated cancer cell adhesion and colony formation in ovarian cancer
11,Poly [ADP-ribose] polymerase,,,"Proteins involved in a number of cellular processes such as DNA repair, genomic stability, and programmed cell death"
11,Translation initiation factor IF-2,,,
11,zinc finger protein 711 isoform X1,,,Transcriptional regulator required for brain development
10,14-3-3 protein beta/alpha,,,Adapter protein implicated in the regulation of a large spectrum of both general and specialized signaling pathways
10,filamin-C-like isoform X3,tissue,0,"Filamin C (FLNC) is one of three filamin proteins (Filamin A (FLNA), Filamin B (FLNB), and FLNC) that cross-link actin filaments"
10,MAGE domain-containing protein,,,"Recent biochemical and biophysical studies indicate that MAGEs assemble with E3 RING ubiquitin ligases to form MAGE-RING ligases (MRLs) and act as regulators of ubiquitination by modulating ligase activity, substrate specification, and subcellular localization"
10,Mucin-5B,,,
10,Myeloperoxidase,,,"Leukocyte-derived enzyme, catalyzes ROS formation"
10,"Myosin light chain 1, skeletal muscle isoform",muscle,1,
10,"Myosin light chain 1, skeletal muscle isoform (Fragment)",muscle,1,
10,Nuclear transglutaminase,,,DNA damage repair
9,Actin-3,muscle,1,
9,Chondroitin sulfate proteoglycan 4,,,Vascular role: stimulates endothelial cell motility during microvascular morphogenesis
9,cytosolic carboxypeptidase 2-like isoform X3,,,Likely digestive
9,Glutamine amidotransferase type-2 domain-containing protein,,,Amino acid/nitrogen metabolism
9,Meprin A subunit,,,Hydrolysis of protein and peptide substrates preferentially on carboxyl side of hydrophobic residues
9,nucleoprotein TPR-like isoform X1,,,Nuclear pore complex component
9,Pancreatic triacylglycerol lipase protein (Fragment),,,Likely digestive
9,Putative maltase-glucoamylase 2,,,"Likely digestive, predicted to be involved in carbohydrate metabolic process"
9,Tropomyosin alpha-1 chain,muscle,1,
9,"Troponin I, fast skeletal muscle",muscle,1,
9,Type II alpha-keratin IIA,tissue,0,Found in all epithelia
8,Adenosine deaminase,,,Involved in purine metabolism. It is needed for the breakdown of adenosine from food and for the turnover of nucleic acids in tissues
8,alpha-enolase isoform X1,muscle,0,Glycolysis
8,Alpha-L-fucosidase,,,"Member of family of hydrolases, specifically those glycosidases that hydrolyse O- and S-glycosyl compounds"
8,butyrophilin subfamily 1 member A1-like isoform X1,dairy,1,Butyrophilin is the major protein associated with fat droplets in the milk
8,Ependymin related 1,,,Human homolog of glycoprotein found in CSF of many teleost fish
8,Ezrin,muscle,0,"Plasma membrane–actin cytoskeleton linker, participate in the formation of specialized domains of the plasma membrane"
8,"Filamin C, gamma a (actin binding protein 280)",tissue,0,"Filamin C (FLNC) is one of three filamin proteins (Filamin A (FLNA), Filamin B (FLNB), and FLNC) that cross-link actin filaments"
8,"Glycogen phosphorylase, brain form",muscle,0,"Glycogen mobilization, could be relevant for muscle but interesting that this is brain isoform"
8,Heat shock protein HSP70 (Fragment),,,"ATP-dependent molecular chaperones, involved in many cellular processes including protein folding, prevention of protein aggregation, modulation of protein complexes, and protein transport between cellular compartments"
8,Histone H3 (Fragment),,,
8,K-casein (Fragment),dairy,1,
8,"Keratin, type I cytoskeletal 19",tissue,0,
8,Lamin L3,,,Building block of karyoskeleton (nuclear skeleton?)
8,M20_dimer domain-containing protein,,,Domain consists of 4 beta strands and two alpha helices which make up the dimerisation surface of members of the M20 family of peptidases
8,Myosin heavy chain 15,muscle,1,
8,NADH-ubiquinone oxidoreductase chain 5,muscle,0,Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase
7,AAA domain-containing protein,muscle,0,AAA: ATPases Associated with diverse cellular Activities
7,ABC transporter G family member 20,,,ABC: ATP-binding cassette
7,Aspartyl aminopeptidase,,,Likely digestive: release of an N-terminal aspartate or glutamate from a peptide
7,Beta-lactoglobulin,dairy,1,Major whey protein of cow and sheep's milk
7,Bifunctional purine biosynthesis protein PURH (Fragment),,,De novo purine biosynthesis
7,Cytochrome b,muscle,0,Mitochondrial complex III protein
7,DEAD box helicase DDX5,,,
7,Dual serine/threonine and tyrosine protein kinase,,,Signal transduction
7,F-box protein 3,,,"The F-box proteins constitute one of the four subunits of the ubiquitin protein ligase complex called SCFs (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination"
7,G_PROTEIN_RECEP_F1_2 domain-containing protein,,,Unclear function
7,Keratin 14,tissue,0,
7,Keratin 4,tissue,0,
7,"Keratin, type II cytoskeletal 6C (Fragment)",tissue,0,
7,leukocyte elastase inhibitor-like,,,A member of the clade B of SERPINS. It is an intracellular protein and acts primarily to protect the cell from proteases released into the cytoplasm during stress
7,Multifunctional fusion protein,,,Unclear function
7,Non-specific serine/threonine protein kinase,,,Signal transduction
7,Phosphoglycerate kinase,muscle,0,Glycolysis
7,round spermatid basic protein 1-like isoform X2,muscle,0,Iron binding
7,Serpin B6,tissue,0,"Intracellular serine protease inhibitors, localized mainly in the cytoplasm of endothelial cells, some epithelial cells, monocytes, and neutrophils"
7,Short-chain mitochondrial-like specific acyl (Fragment),muscle,0,
7,Synaptophysin like 2,muscle,1,Involved in communication between the T-tubular and junctional sarcoplasmic reticulum (SR) membranes
7,Triacylglycerol lipase,,,Hydrolysis of TAGs to glycerol and Fas
7,Unc-45-like protein A,muscle,0,Myosin chaperone protein: https://www.nature.com/articles/s41467-019-12667-8
7,Uncharacterized protein KIAA0141 (Fragment),,,Unclear function
7,zf-C3H1 domain-containing protein,,,"Subunit of the trimeric poly(A) tail exosome targeting (PAXT) complex, a complex that directs a subset of long and polyadenylated poly(A) RNAs for exosomal degradation"
6,"Alpha-actinin, sarcomeric-like isoform X1 (Fragment)",muscle,1,
6,Alpha-fetoprotein,egg,1,Produced in the liver of a developing fetus
6,Aminopeptidase,,,Likely digestive
6,Apoptosis inhibitor 5,,,
6,ATP synthase subunit alpha,muscle,0,Mitochondrial
6,BTB domain-containing protein,,,Wide range of cellular functions
6,Carbohydrate sulfotransferase,,,Sulfotransferase enzymes that transfer sulfate to carbohydrate groups in glycoproteins and glycolipids
6,Cytochrome c domain-containing protein,muscle,0,Mitochondrial electron transport
6,DNA-dependent protein kinase catalytic subunit,,,"Regulates proliferation, telomere length, and genomic stability in human somatic cells"
6,DUF1081 domain-containing protein,,,DUR: Domain of unknown function
6,Elongation factor Tu,,,Prokaryotic translation elongation factor
6,F-box only protein 38,,,"Transcription factor co-activator, may participate in ubiquitination"
6,Heat shock protein 70 B2,,,"ATP-dependent molecular chaperones, involved in many cellular processes including protein folding, prevention of protein aggregation, modulation of protein complexes, and protein transport between cellular compartments"
6,Histone domain-containing protein (Fragment),,,
6,Hyaluronan binding protein 2,tissue,0,Extracellular serine protease which binds hyaluronic acid. It is involved in cell adhesion
6,Latrophilin-3,muscle,0,Regulator of synaptic function and maintenance in brain regions that mediate locomotor activity
6,MI domain-containing protein,,,Predicted transcription factor initiation activity
6,"Myosin-binding protein C, fast-type",muscle,1,
6,Phosphoglycerate mutase 1,muscle,0,Glycolysis
6,Phospholipase B-like,,,Catalyses the hydrolytic cleavage of both acylester bonds of glycerophospholipids
6,protocadherin beta-16-like,,,Unclear function
6,Serpin family B member 8,,,"Serine protease, regulate a diverse set of intra and extracellular processes"
6,Solute carrier family 25 member 11,muscle,0,"Potentially mitochondrial, see https://rgd.mcw.edu/rgdweb/report/gene/main.html?id=732505"
6,Thioredoxin domain containing 16,,,ER-associated glycoprotein
6,Zinc finger protein 500,,,
5,Actin-related protein 2/3 complex subunit 4,muscle,0,Part of a multiprotein complex that mediates actin polymerization
5,Actinin alpha 3 (gene/pseudogene),muscle,1,"Actin binding, specifically expressed in skeletal muscle"
5,Actinin alpha 4,,,Non-muscle alpha actinin isoform concentrated in the cytoplasm
5,"Adenylate kinase 2, mitochondrial",muscle,0,Mitochondrial
5,Apovitellenin-1,egg,1,Protein component of the very low density lipoprotein (VLDL) of egg-laying females
5,Autophagy-related protein 16-1,,,Function characterized in human intestinal Paneth cells
5,Calponin-homology (CH) domain-containing protein,muscle,0,Superfamily of actin-binding domains found in both cytoskeletal proteins and signal transduction proteins
5,Clustered mitochondria protein homolog,muscle,0,Mitochondrial
5,Collagen IV NC1 domain-containing protein,tissue,0,
5,dedicator of cytokinesis protein 3,,,Specifically expressed in the central nervous system (CNS). It encodes a member of the DOCK (dedicator of cytokinesis) family of guanine nucleotide exchange factors (GEFs)
5,Dishevelled binding antagonist of beta catenin 2,,,"Predicted to enable several functions, including beta-catenin binding activity; delta-catenin binding activity; and protein kinase C binding activity"
5,F-box only protein 38 isoform X1,,,
5,Glucose-6-phosphate isomerase,muscle,0,Glycolysis
5,Heat shock protein 9,,,HSP primarily localized to the mitochondria
5,"Histidyl-tRNA synthetase, cytoplasmic",,,
5,Histone domain-containing protein,,,
5,Keratin 17,tissue,0,
5,Keratin 77,tissue,0,
5,Kinesin motor domain-containing protein,muscle,1,
5,L-lactate dehydrogenase A chain,muscle,0,Lactate dehydrogenase A catalyzes the inter-conversion of pyruvate and L-lactate
5,Lactaldehyde dehydrogenase,,,
5,Myosin heavy chain,muscle,1,
5,N-acetylated alpha-linked acidic dipeptidase 2,,,Likely digestive
5,nebulin,muscle,1,Nebulin is an actin-binding protein which is localized to the thin filament of the sarcomeres in skeletal muscle
5,Nebulin,muscle,1,Nebulin is an actin-binding protein which is localized to the thin filament of the sarcomeres in skeletal muscle
5,Nucleophosmin/nucleoplasmin 3,,,Nuclear chaperone protein
5,Protein kinase domain-containing protein,,,Signal transduction
5,Protocadherin-18,tissue,0,Potential calcium-dependent cell-adhesion protein.
5,Serpin family B member 1,,,
5,SH3 domain-binding protein 5-like isoform X2,,,Signal transduction
5,Transmembrane protein 38A,muscle,0,Predicted to enable potassium channel activity
5,Trophoblast Kunitz domain protein 4,dairy,0,Specifically expressed in placenta of ruminant ungulates
5,Tropomyosin alpha-1 chain (Fragment),muscle,1,
5,Tropomyosin-1 alpha chain,muscle,1,
5,"Troponin C, skeletal muscle (Fragment)",muscle,1,
5,Vimentin-related 2,tissue,0,Intermediate filament
5,WD repeat domain 97,,,Potential microtubule binding activity
5,zinc finger and BTB domain-containing protein 5,,,Transcription factor
5,Zinc finger FYVE domain-containing protein 19 (Fragment),,,Interaction with endosomal lipids
4,"10 kDa heat shock protein, mitochondrial",,,
4,absent in melanoma 1 protein isoform X1,,,
4,ADP/ATP translocase 1,,,
4,Alpha-actinin-3,,,
4,basement membrane-specific heparan sulfate proteoglycan core protein-like isoform X1,,,
4,Beta-crystallin B1,,,
4,Copine I,,,
4,Cyclic GMP-AMP synthase,,,
4,Cytochrome b (Fragment),,,
4,Denticleless-like protein (Fragment),,,
4,Dihydrolipoyl dehydrogenase,,,
4,Enolase (Fragment),,,
4,Envoplakin,,,
4,Estradiol 17-beta-dehydrogenase 2,,,
4,"Fidgetin, microtubule severing factor",,,
4,G-protein coupled receptor 98,,,
4,Galectin,,,
4,Glucose-6-phosphate isomerase (Fragment),,,
4,Gp_dh_N domain-containing protein,,,
4,Growth arrest-specific protein 8,,,
4,Hepatic and glial cell adhesion molecule a,,,
4,Lactate dehydrogenase (Fragment),,,
4,Leukocyte elastase inhibitor,,,
4,Metalloendopeptidase,,,
4,Mitochondrial folate transporter/carrier,,,
4,Myosin_tail_1 domain-containing protein (Fragment),,,
4,myosin-9-like,,,
4,NADH-ubiquinone oxidoreductase chain 2,,,
4,Parvalbumin beta 3 (Fragments),,,
4,Polyribonucleotide nucleotidyltransferase 1,,,
4,Proactivator polypeptide (Fragment),,,
4,Proteasome subunit alpha type,,,
4,protein NLRC3 isoform X1,,,
4,ras-related protein Rab-15-like,,,
4,Ras-related protein Rab-8A (Fragment),,,
4,regulating synaptic membrane exocytosis protein 1 isoform X6,,,
4,Rho GTPase activating protein 29a,,,
4,Sarcalumenin,,,
4,Sarcoplasmic calcium-binding protein variant c,,,
4,Serpin family B member 13,,,
4,SH3 domain-containing protein,,,
4,"Solute carrier family 25 alpha, member 5 (Fragment)",,,
4,Spectrin repeat containing nuclear envelope protein 1,,,
4,Telethonin,,,
4,Tripartite motif-containing protein 45,,,
4,Tropomyosin beta chain,,,
4,Voltage-dependent anion-selective channel protein 2,,,
4,VPS39 subunit of HOPS complex,,,
4,Xyloside xylosyltransferase 1,,,
3,2-phospho-D-glycerate hydrolase (Fragment),,,
3,40S ribosomal protein S3,,,
3,5-hydroxytryptamine receptor 2C,,,
3,AA_TRNA_LIGASE_II domain-containing protein (Fragment),,,
3,ADP-ribosylation factor 2a,,,
3,ADP/ATP translocase (Fragment),,,
3,Alpha-1-acid glycoprotein,,,
3,Aminopeptidase N,,,
3,ATP synthase peripheral stalk-membrane subunit b,,,
3,ATP synthase subunit beta,,,
3,ATP-dependent 6-phosphofructokinase,,,
3,ATP/ADP translocase,,,
3,Beta-glucuronidase,,,
3,Carboxypeptidase O,,,
3,Cell adhesion molecule 2,,,
3,chromodomain-helicase-DNA-binding protein 9 isoform X1,,,
3,Cold shock domain-containing protein E1,,,
3,Collagen alpha-1(IV) chain,,,
3,Copine 3,,,
3,"Creatine kinase, mitochondrial 2a (sarcomeric)",,,
3,Cytochrome P450 (Fragment),,,
3,"Discoidin domain receptor family, member 2, like",,,
3,DNA excision repair protein ERCC-6-like,,,
3,Dpy-19 like C-mannosyltransferase 1,,,
3,"Dynein heavy chain 6, axonemal",,,
3,E3 ubiquitin-protein ligase,,,
3,Enolase,,,
3,Ependymin,,,
3,ER lipid raft associated 2,,,
3,Eyes absent homolog,,,
3,F-box only protein 18 isoform X1,,,
3,fast myotomal muscle troponin-I,,,
3,FERM domain-containing protein 4A-like isoform X2,,,
3,"Fumarate hydratase class I, aerobic",,,
3,G protein subunit alpha 15,,,
3,G-patch domain-containing protein (Fragment),,,
3,Gamma-tubulin complex component,,,
3,Glutamate carboxypeptidase 2,,,
3,Glycerol-3-phosphate dehydrogenase [NAD(+)],,,
3,Golgi apparatus membrane protein TVP23 homolog,,,
3,guanine nucleotide-binding protein subunit alpha-14-like,,,
3,Histone acetyltransferase KAT6A,,,
3,Histone H2B,,,
3,Histone H3.3,,,
3,HIT domain-containing protein,,,
3,Homeobox domain-containing protein,,,
3,IGv domain-containing protein,,,
3,Inosine-5'-monophosphate dehydrogenase,,,
3,Intersectin-1,,,
3,Lactase,,,
3,Leucine rich repeat containing 43,,,
3,Leucine-rich repeat-containing protein 57,,,
3,LIM domain binding 3,,,
3,Lipocln_cytosolic_FA-bd_dom domain-containing protein,,,
3,"M-protein, striated muscle",,,
3,"Mal, T cell differentiation protein 2 (gene/pseudogene)",,,
3,MAX dimerization protein 3,,,
3,Methyltransferase-like protein 24,,,
3,minor histocompatibility protein HA-1-like,,,
3,MYBPC1 protein,,,
3,"Myosin binding protein C, slow type",,,
3,"myosin light chain kinase 2, skeletal/cardiac muscle-like isoform X1",,,
3,NAC-A/B domain-containing protein,,,
3,"Neural precursor cell expressed, developmentally down-regulated 9",,,
3,Nucleolar and coiled-body phosphoprotein 1,,,
3,Obg-like ATPase 1,,,
3,Olfactory receptor,,,
3,Origin recognition complex subunit 1,,,
3,Peptidase S1 domain-containing protein,,,
3,Peptidyl arginine deiminase 2,,,
3,Peroxisomal membrane protein PEX16,,,
3,PH and SEC7 domain-containing protein 1,,,
3,Phosphoglycerate mutase,,,
3,Phosphoglycerate mutase 2,,,
3,Photosystem II protein D1,,,
3,PKS_ER domain-containing protein,,,
3,proline-rich receptor-like protein kinase PERK9,,,
3,"Protein kinase, DNA-activated, catalytic subunit",,,
3,Protein-tyrosine-phosphatase,,,
3,PTPRF interacting protein alpha 1,,,
3,"RAB15, member RAS oncogene family",,,
3,"Rho guanine nucleotide exchange factor (GEF) 3, like",,,
3,RRM domain-containing protein,,,
3,RUN and FYVE domain containing 2,,,
3,Sarcalumenin (Fragment),,,
3,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,,,
3,Serum albumin (Fragment),,,
3,SH3 domain-binding glutamic acid-rich-like protein,,,
3,Sidoreflexin,,,
3,Solute carrier family 39 member 6,,,
3,Staphylococcal nuclease domain-containing protein,,,
3,Testis and ovary specific PAZ domain containing 1,,,
3,Transient receptor potential cation channel subfamily M member 7,,,
3,Triosephosphate isomerase (Fragment),,,
3,"Troponin C, slow skeletal and cardiac muscles",,,
3,"Troponin I1, slow skeletal type",,,
3,"Troponin I2, fast skeletal type",,,
3,"Troponin T type 3a (skeletal, fast)",,,
3,Type I keratin isoform 2,,,
3,Ubiquitin carboxyl-terminal hydrolase,,,
3,ubiquitin carboxyl-terminal hydrolase 34 isoform X1,,,
3,Zgc:110699,,,
3,"Zinc finger, NFX1-type containing 1",,,
2,40S ribosomal protein S25,,,
2,40S ribosomal protein S8 (Fragment),,,
2,"60 kDa heat shock protein, mitochondrial",,,
2,Adaptin_N domain-containing protein,,,
2,Adenosine receptor A2b,,,
2,ADP/ATP translocase 3,,,
2,Advillin,,,
2,AIG1-type G domain-containing protein,,,
2,Ankyrin repeat and SOCS box protein 2 (Fragment),,,
2,Ankyrin-2,,,
2,Annexin (Fragment),,,
2,Arginine kinase,,,
2,Arginine kinase (Fragment),,,
2,"ATP-binding cassette sub-family B member 10, mitochondrial",,,
2,ATP-dependent DNA helicase,,,
2,ATP/ADP translocase (Fragment),,,
2,Basal body-orientation factor 1,,,
2,"BTB and CNC homology 1, basic leucine zipper transcription factor 1 a",,,
2,c-SKI_SMAD_bind domain-containing protein,,,
2,C-type lectin domain-containing protein,,,
2,C2H2-type domain-containing protein,,,
